OldCode,Code,Index,IsTurnedOn,Name,Long Name,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,MovesVertically,MovesHorizontally,IsFished,IsImpacted,isTAC,GroupType,IsPredator,IsCover,IsSiliconDep,IsAssessed,IsCatchGrazer,OverWinters,isCultured,isHabDepend,numMoveEntries,isSupplemented
DC,DC,0,1,Carrion,Carrion,1,1,1,1,1,1,0,0,0,1,0,CARRION,0,0,0,0,0,0,0,0,1,0
DL,DL,1,1,Lab_Det,Labile detritus,1,1,1,1,1,1,0,0,0,1,0,LAB_DET,0,0,0,0,0,0,0,0,1,0
DR,DR,2,1,Ref_Det,Refractory detritus,1,1,1,1,1,1,0,0,0,1,0,REF_DET,0,0,0,0,0,0,0,0,1,0
BB,BB,3,1,Sed_Bact,Benthic bacteria,1,1,1,1,1,1,0,0,0,1,0,SED_BACT,0,0,0,0,0,0,0,0,1,0
PB,PB,4,1,Pelag_Bact,Pelagic bacteria,1,1,1,1,1,1,0,0,0,1,0,PL_BACT,0,0,0,0,0,0,0,0,1,0
PL,PL,5,1,Lrg_Phyto,Large phytoplankton,1,1,1,1,1,1,0,0,0,1,0,LG_PHY,0,0,1,0,0,0,0,0,1,0
PS,PS,6,1,Sm_Phyto,Small phytoplankton,1,1,1,1,1,1,0,0,0,1,0,SM_PHY,0,0,0,0,0,0,0,0,1,0
MA,MA,7,1,Macroalgae,Macroalgae,1,1,1,1,1,1,0,0,0,1,0,PHYTOBEN,0,1,0,0,0,0,0,0,1,0
SG,SG,8,1,Seagrass,Seagrass,1,1,1,1,1,1,0,0,0,1,0,SEAGRASS,0,1,0,0,0,0,0,0,1,0
ZS,ZS,9,1,Micro_Zoo,Microzooplankton,1,1,1,1,1,1,1,1,0,1,0,SM_ZOO,1,0,0,0,0,0,0,0,1,0
ZM,ZM,10,1,Meso_Zoo,Mesozooplankton,1,1,1,1,1,1,1,1,0,1,0,SM_ZOO,1,0,0,0,0,0,0,0,1,0
ZL,ZL,11,1,Lrg_Zoo,Large zooplankton,1,1,1,1,1,1,1,1,0,1,0,LG_ZOO,1,0,0,0,0,0,0,0,1,0
ZG,ZG,12,1,Gel_Zoo,Gelatinous zooplankton,1,1,1,1,1,1,1,1,0,1,0,LG_ZOO,1,0,0,0,0,0,0,0,1,0
SQX,SQX,13,1,Squid,Squid,1,1,1,1,1,1,1,1,1,1,0,LG_ZOO,1,0,0,0,0,0,0,0,1,0
BMD,BMD,14,1,Macrobenth_Deep,Deep macro-zoobenthos,1,1,1,1,1,1,0,1,0,1,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0,1,0
BD,BD,15,1,Deposit_Feeder,Deposit feeders,1,1,1,1,1,1,0,1,0,1,0,SED_EP_FF,0,0,0,0,0,0,0,0,1,0
BG,BG,16,1,Benthic_grazer,Benthic grazers,1,1,1,1,1,1,0,1,0,1,0,MOB_EP_OTHER,0,0,0,0,0,0,0,0,1,0
BMS,BMS,17,1,Octopi,Octopi,1,1,1,1,1,1,0,1,1,1,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0,1,0
DUN,DUN,18,1,Dungeness,Dungeness crab,20,1,1,1,9,1,0,1,1,1,0,FISH,1,0,0,0,0,0,0,1,1,0
BML,BML,19,1,Crab,Crabs,1,1,1,1,1,1,0,1,1,1,0,MOB_EP_OTHER,1,0,0,0,0,0,0,0,1,0
PWN,PWN,20,1,Shrimp,Shrimp,1,1,1,1,1,1,1,1,0,1,0,PWN,1,0,0,0,0,0,0,0,1,0
BFF,BFF,21,1,Filter_Other,Benthic filter feeder,1,1,1,1,1,1,0,0,0,1,0,SED_EP_FF,0,1,0,0,0,0,0,0,1,0
BIV,BIV,22,1,Bivalve,Bivalves,1,1,1,1,1,1,0,0,1,1,0,SED_EP_FF,0,0,0,0,0,0,0,0,1,0
GEC,GEC,23,1,Geoduck,Geoducks,20,1,1,1,10,1,0,0,1,1,0,FISH,0,0,0,0,0,0,0,1,1,0
BC,BC,24,1,Carn_Infauna,Carnivorous infauna,1,1,1,1,1,1,0,0,0,1,0,MOB_EP_OTHER,0,0,0,0,0,0,0,0,1,0
HE1,HEP,25,1,Herring_PS,Pacific Herring Puget Sound,1,1,2,1,7,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,3,0
HE2,HEC,26,1,Herring_Cherry,Pacific Herring Cherry Point,1,1,2,1,6,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,3,0
FPS,FPS,27,1,Sm_Plank_Fish,Small Planktivorous Fish,20,1,2,1,4,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,1,0
POP,POP,28,1,Perch_Fish,Perch,20,1,2,1,8,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,1,0
CI1,CHY,29,1,ChinookY_Fish,Chinook Hatch Yearling,1,1,2,1,5,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
CI2,CHS,30,1,ChinookSY_Fish,Chinook Hatch Subyearling,1,1,2,1,5,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
CI3,CSY,31,1,ChinookSKY_Fish,Chinook Skagit Yearling,1,1,2,1,5,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
CI4,CSS,32,1,ChinookSKSY_Fish,Chinook Skagit Subyearling,1,1,2,1,5,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
CI5,CSN,33,1,ChinookSSY_Fish,Chinook Snohomish Subyearling,1,1,2,1,5,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
CI6,CDS,34,1,ChinookDSY_Fish,Chinook Duwamish Subyearling,1,1,2,1,5,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
CI7,CNY,35,1,ChinookNY_Fish,Chinook Nisqually Yearling,1,1,2,1,5,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
CI8,CNS,36,1,ChinookNSY_Fish,Chinook Nisqually Subyearling,1,1,2,1,5,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
CI9,CHC,37,1,ChinookHY_Fish,Chinook Hood Canal Subyearling,1,1,2,1,5,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
CI10,CYE,38,1,ChinookOY_Fish,Chinook other Yearling,1,1,2,1,5,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
CI11,CKS,39,1,ChinookOSY_Fish,Chinook other Subyearling,1,1,2,1,5,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
CO1,COH,40,1,CohoHY_Fish,Coho Hatch Yearling,1,1,2,1,3,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
CO2,COS,41,1,CohoSY_Fish,Coho Skagit Yearling,1,1,2,1,3,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
CO3,COD,42,1,CohoDSY_Fish,Coho Deep South Yearling,1,1,2,1,3,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
CO4,COY,43,1,CohoOY_Fish,Coho other Yearling,1,1,2,1,3,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
CU1,CMS,44,1,ChumHSY_Fish,Chum Hatch Subyearling,1,1,2,1,5,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
CU2,CMF,45,1,ChumFSY_Fish,Chum Fall Subyearling,1,1,2,1,5,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
CU3,CMH,46,1,ChumHCSY_Fish,Chum Hood Canal summer run Subyearling,1,1,2,1,5,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
PIS,PIS,47,1,PinkSY_Fish,Pink Salmon Subyearling,20,1,2,1,3,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
SAL,SAL,48,1,OtherSal_Fish,Other salmonids,20,1,2,1,8,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
SAF,SAF,49,1,SGeorgia_Fish,Strait of Georgia salmonids,20,1,2,1,5,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,12,2
FMM,FMM,50,1,Gadiods_Fish,Hake_Large gadoids,20,1,2,1,10,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,1,0
FVS,FVS,51,1,LgDem_Fish,Large demersal predators,20,1,2,1,10,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,1,0
ROC,ROC,52,1,DemRock_Fish,Demersal rockfish,20,1,2,1,10,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,1,1,0
MRO,MRO,53,1,MidRock_Fish,Midwater rockfish,20,1,2,1,10,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,1,1,0
DVR,DVR,54,1,DemVRock_Fish,Demersal vulnerable rockfish,20,1,2,1,10,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,1,1,0
MVR,MVR,55,1,MidVRock_Fish,Midwater vulnerable rockfish,20,1,2,1,10,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,1,1,0
SMD,SMD,56,1,SmDem_Fish,Small demersal fish,20,1,2,1,5,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0,1,0
FDF,FDF,57,1,SmFlat_Fish,Small-mouthed Flatfish,20,1,2,1,10,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,1,1,0
HAP,HAP,58,1,PiscFlat_Fish,Piscivorous flatfish,20,1,2,1,10,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,1,1,0
DOG,DOG,59,1,Spinydog_Fish,Spiny dogfish,20,1,2,1,10,1,1,1,1,1,0,SHARK,1,0,0,0,0,0,0,0,2,0
SBL,SBL,60,1,Sixgill_Shark,Sixgill Shark,20,1,2,1,10,1,1,1,1,1,0,SHARK,1,0,0,0,0,0,0,1,2,0
SSK,SSK,61,1,SkateRay,Skates,20,1,2,1,10,1,1,1,0,1,0,SHARK,1,0,0,0,0,0,0,1,1,0
RAT,RAT,62,1,Ratfish,Ratfish,20,1,2,1,10,1,1,1,0,1,0,FISH,1,0,0,0,0,0,0,1,1,0
SB,SB,63,1,Pisc_Seabird,Seabirds (piscivorous),20,1,2,1,10,1,1,1,0,1,0,BIRD,1,0,0,0,0,0,0,0,1,0
SP,SP,64,1,NonPisc_Seabird,Seabirds (mainly non-piscivorous),20,1,2,1,10,1,1,1,0,1,0,BIRD,1,0,0,0,0,0,0,0,1,0
BE,BE,65,1,Raptors,Raptors,20,1,2,1,10,1,1,1,0,1,0,BIRD,1,0,0,0,0,0,0,0,1,0
HSL,HSL,66,1,Harbor_seal,Harbor seals,20,1,2,1,10,1,1,1,0,1,0,MAMMAL,1,0,0,0,0,0,0,0,1,0
CSL,CSL,67,1,California_sea_lion,California sea lions,20,1,2,1,10,1,1,1,0,1,0,MAMMAL,1,0,0,0,0,0,0,0,1,0
PIN,PIN,68,1,Pinniped,Steller sea lions,20,1,2,1,10,1,1,1,0,1,0,MAMMAL,1,0,0,0,0,0,0,0,4,0
PHR,PHR,69,1,Porpoise,Harbor porpoise,20,1,2,1,10,1,1,1,0,1,0,MAMMAL,1,0,0,0,0,0,0,0,1,0
ORC1,ROR,70,1,Res_Orca,Resident Orca,1,1,2,1,10,1,1,1,0,1,0,MAMMAL,1,0,0,0,0,0,0,0,4,0
ORC2,TOR,71,1,Trans_Orca,Transient Orca,1,1,2,1,10,1,1,1,0,1,0,MAMMAL,1,0,0,0,0,0,0,0,4,0
HUW,HUW,72,1,Hump_whale,Humpback whales,20,1,2,1,10,1,1,1,0,1,0,MAMMAL,1,0,0,0,0,0,0,0,4,0
